,total_windows,input_window,output_window,outlier_threshold,accuracy,precision,recall,f1
0,57703,96,24,1.5,0.941772809981804,0.9102707827214775,0.905662887849609,0.9077584993383985
1,49631,96,48,1.5,0.9615190893522716,0.9467083387595263,0.9443150294252839,0.945412410174525
2,38559,96,96,1.5,0.9712136929460581,0.9653892586529186,0.9622964352261674,0.9638190358047286
3,37163,192,8,1.5,0.9487420960581192,0.8300984221086468,0.8081234118792328,0.8185260319504978
4,34608,192,24,1.5,0.9601271308870268,0.9158747666140407,0.9207565198051219,0.9182963287319494
5,31279,192,48,1.5,0.9683503836317136,0.9500150559965541,0.9490280784830132,0.9494474523668309
6,25978,192,96,1.5,0.976905311778291,0.9662851059852926,0.9677504246871808,0.9670093823207546
7,18355,192,192,1.5,0.9871969490602016,0.9833998205321078,0.9844421971565266,0.9839178326395256
8,66758,96,24,3,0.9373127621330137,0.89834536891768,0.9014484852672089,0.8998469113490614
9,57787,96,48,3,0.9591624848589722,0.9412544883557792,0.9412196084354777,0.941224084024281
10,45787,96,96,3,0.9693164446385674,0.9609471549174932,0.9580520440484227,0.9594580213143954
11,44275,192,8,3,0.9479390175042349,0.8204139488825453,0.8186070956217856,0.8193195160921389
12,41495,192,24,3,0.9568622725629594,0.9196781867733509,0.9071395689913726,0.9130826420933752
13,37844,192,48,3,0.971726780288017,0.9513767550915326,0.947817422353774,0.949581127328381
14,32150,192,96,3,0.9741835147744946,0.9566087614405338,0.9606880864283345,0.9586270266464858
15,23998,192,192,3,0.9852083333333334,0.9799397991274007,0.9743096630948357,0.9770504305589357
16,149656,96,24,remove,0.9525591340371509,0.8968356885966305,0.9011723523959745,0.8989352798688776
17,134647,96,48,remove,0.9662829558113628,0.936972264910645,0.9326692133852249,0.9347260803621728
18,112906,96,96,remove,0.9760428659994687,0.9596744222326249,0.9561366772748925,0.9578679565980401
19,110038,192,8,remove,0.9581515812431843,0.8020179309078707,0.7922617460906197,0.7967715611153214
20,104624,192,24,remove,0.9680764635603345,0.8971015897994524,0.9087909364505836,0.9028462509274963
21,97339,192,48,remove,0.9750873227861105,0.9424385566048287,0.9373676410949449,0.9397756411710704
22,85404,192,96,remove,0.9785726830981792,0.9561333871278284,0.9536520013504289,0.9548762500311826
23,67043,192,192,remove,0.9827727645611156,0.9724387142760542,0.964563765945817,0.9684318005980411
