,columns,total_test_windows,input_window,output_window,outlier_threshold,optimizer,cell_size,dropout,accuracy,precision,recall,f1
0,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,5,0.0,0.4070055742144226,0.3765668576869165,0.37851509595537197,0.3471411192987565
1,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,5,0.0,0.8113532418617164,0.3660263076723275,0.3760884020805649,0.36097696747688784
2,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,5,0.02,0.3043661748931755,0.3786086656841589,0.3484505943498813,0.2932895136964437
3,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,5,0.02,0.4077661196305264,0.371328221716355,0.3854889455613975,0.27575135954673463
4,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,5,0.05,0.27617858587279537,0.3277265058020885,0.3224030807557233,0.23098227860693418
5,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,5,0.05,0.7002062595282934,0.3277049812393424,0.33191723662838,0.30882756149954516
6,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,10,0.0,0.3339429214510542,0.33183576043972346,0.3247439135774349,0.30416392774914053
7,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,10,0.0,0.6954533225719667,0.3413919522128914,0.35687088430116337,0.3286531087457598
8,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,10,0.02,0.3865550651497301,0.39207523059025,0.3746733527287949,0.3551122731785437
9,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,10,0.02,0.8112635638059367,0.35500987981051607,0.361698286615298,0.3436398262744431
10,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,10,0.05,0.34350876575990436,0.37282338866580056,0.36264037158771606,0.32853268056307583
11,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,10,0.05,0.7256389561474307,0.35924047328939396,0.39014680693481435,0.35394121070327383
